type,ident,lat,long,y_proj,x_proj,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime
TRACK,1.1.1-1, , ,10000000,11015404.4991538, , , , , , , , , , 
TRACK,1.1.1-1,-16.39105912803267,-71.52870505086037,8186124.36014746,229908.138110052,False, , ,0, , , , , , 
TRACK,1.1.1-1,-16.39111194206456,-71.52867079887965,8186118.55873891,229911.871455337,False, , ,0, , , , , , 
TRACK,1.1.1-1,-16.39108462395294,-71.52840592271699,8186121.93587498,229940.140826842,False, , ,0, , , , , , 
TRACK,1.1.1-1,-16.39106808310988,-71.52814913153499,8186124.1090592,229967.56103377,False, , ,0, , , , , , 
TRACK,1.1.1-1,-16.39101739998142,-71.52796254781558,8186129.96861164,229987.431144975,False, , ,0, , , , , , 
TRACK,1.1.1-1,-16.39060189462215,-71.52824899349221,8186175.58766915,229956.245796096,False, , ,0, , , , , , 
TRACK,1.1.1-1,-16.39087216235909,-71.52852308498677,8186145.30140865,229927.326691487,False, , ,0, , , , , , 
TRACK,1.1.1-2, , ,10000000,11015404.4991538, , , , , , , , , , 
TRACK,1.1.1-2,-16.39074650513318,-71.52789206279977,8186160.05313801,229994.590174888,False, , ,0, , , , , , 
TRACK,1.1.1-2,-16.39071414135841,-71.52782255596458,8186163.72866138,230001.973676938,False, , ,0, , , , , , 
TRACK,1.1.1-2,-16.39066190353347,-71.52763742682004,8186169.758359,230021.686237199,False, , ,0, , , , , , 
TRACK,1.1.1-2,-16.3905760891798,-71.52751024514166,8186179.42814389,230035.159701564,False, , ,0, , , , , , 
TRACK,1.1.1-2,-16.39035513407148,-71.52719605013749,8186204.30822787,230068.43281898,False, , ,0, , , , , , 
TRACK,1.1.1-2,-16.39021109244331,-71.52687237739072,8186220.68580263,230102.824927381,False, , ,0, , , , , , 
TRACK,1.1.1-2,-16.39006086741708,-71.52655829019662,8186237.73512142,230136.184154713,False, , ,0, , , , , , 
TRACK,1.1.1-2,-16.38996888464835,-71.52660746651597,8186247.85305687,230130.801910077,False, , ,0, , , , , , 
TRACK,1.1.1-2,-16.39016349990784,-71.52691984225602,8186225.89158458,230097.686770563,False, , ,0, , , , , , 
TRACK,1.1.1-2,-16.39018750019959,-71.52697631887696,8186223.159359,230091.68423517,False, , ,0, , , , , , 
